kind,column,rows_seen,valid_count,missing_or_nonfinite_count,conversion_error_count,negative_count,zero_count,min,mean,p01,p05,p25,p50,p75,p95,p99,max
SOURCE,VehYear,1965355,1965351,4,0,0,8,0.0,2005.17852688909,1987.0,1995.0,2003.0,2007.0,2009.0,2011.0,2011.0,2012.0
SOURCE,ExposTotal,1965355,1965355,0,0,0,51762,0.0,3.185361211643537,0.0,0.04,0.4,0.53,1.81,11.79,44.27,8078.44
SOURCE,ExposFireRob,1965355,1965355,0,0,0,1965355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOURCE,PremTotal,1965355,1965355,0,0,0,51762,0.0,3730.594227093702,0.0,25.33,340.5,887.82,2494.9,13667.550999999987,48589.0173999999,6478755.13
SOURCE,PremFireRob,1965355,1965355,0,0,0,1965355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOURCE,SumInsAvg,1965355,1965355,0,0,0,140667,0.0,39413.43832743702,0.0,0.0,18556.21,29810.53,48177.06,107289.3049999998,197153.47899999982,1307269.94
SOURCE,ClaimNbRob,1965355,1965355,0,0,0,1923094,0.0,0.030163507356177382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,164.0
SOURCE,ClaimNbPartColl,1965355,1965355,0,0,0,1749216,0.0,0.22397073302278722,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1617.0
SOURCE,ClaimNbTotColl,1965355,1965355,0,0,0,1932654,0.0,0.018497930399342614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0
SOURCE,ClaimNbFire,1965355,1965355,0,0,0,1963815,0.0,0.0008191904261571065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
SOURCE,ClaimNbOther,1965355,1965355,0,0,0,1775601,0.0,0.4820665986552048,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1278.0
SOURCE,ClaimAmountRob,1965355,1965355,0,0,0,1923094,0.0,745.7559367137235,0.0,0.0,0.0,0.0,0.0,0.0,26685.0,4421765.0
SOURCE,ClaimAmountPartColl,1965355,1965355,0,0,0,1749216,0.0,837.1295374118162,0.0,0.0,0.0,0.0,0.0,4148.0,17244.0,2289213.0
SOURCE,ClaimAmountTotColl,1965355,1965355,0,0,0,1932654,0.0,615.1462611080441,0.0,0.0,0.0,0.0,0.0,0.0,25024.0,2201873.0
SOURCE,ClaimAmountFire,1965355,1965355,0,0,0,1963815,0.0,19.156278636683957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581152.0
SOURCE,ClaimAmountOther,1965355,1965355,0,0,0,1775601,0.0,146.70082504178635,0.0,0.0,0.0,0.0,0.0,217.0,1664.0,967914.0
DERIVED,TotalClaimCount,1965355,1965355,0,0,0,1602279,0.0,0.7555179598596691,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1637.0
DERIVED,TotalClaimAmount,1965355,1965355,0,0,0,1602279,0.0,2363.888838912054,0.0,0.0,0.0,0.0,0.0,9347.0,53278.0,8273940.0
DERIVED,ClaimFrequency,1965355,1913593,51762,0,0,1602279,0.0,0.3104865498417093,0.0,0.0,0.0,0.0,0.0,0.8810572687224669,4.0,13504.999641541272
DERIVED,LossRatio,1965355,1913593,51762,0,0,1602279,0.0,45966395.41978781,0.0,0.0,0.0,0.0,0.0,1.3395719712180794,14.891820257565948,87960930222080.02
